,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,peak,hit
0,0.0223,https://api.spotify.com/v1/audio-analysis/3Du2K5dLzmduCNp6uwuaL0,0.702,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0.0,11,0.283,-6.917,0,0.265,144.004,4,https://api.spotify.com/v1/tracks/3Du2K5dLzmduCNp6uwuaL0,audio_features,spotify:track:3Du2K5dLzmduCNp6uwuaL0,0.873,Sorry,1,1
1,0.856,https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0,0.607,233720,0.376,50kpGaPAhYJ3sGmk6vplg0,0.0,4,0.285,-9.954,1,0.453,102.541,4,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0,audio_features,spotify:track:50kpGaPAhYJ3sGmk6vplg0,0.545,Love Yourself,2,1
2,0.336,https://api.spotify.com/v1/audio-analysis/0ENSn4fwAbCGeFGVUbXEU3,0.481,295493,0.451,0ENSn4fwAbCGeFGVUbXEU3,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,https://api.spotify.com/v1/tracks/0ENSn4fwAbCGeFGVUbXEU3,audio_features,spotify:track:0ENSn4fwAbCGeFGVUbXEU3,0.289,Hello,1,1
3,0.0462,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,0.734,202333,0.637,3CRDbSIZ4r5MsZ0YwxuEkn,2.29e-05,4,0.0602,-5.677,0,0.141,169.977,4,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,audio_features,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,0.648,Stressed Out,4,1
4,0.978,https://api.spotify.com/v1/audio-analysis/299lFlaAsNQdgbIZNPmIA0,0.326,166387,0.139,299lFlaAsNQdgbIZNPmIA0,3.65e-06,5,0.102,-19.668,1,0.0381,120.384,5,https://api.spotify.com/v1/tracks/299lFlaAsNQdgbIZNPmIA0,audio_features,spotify:track:299lFlaAsNQdgbIZNPmIA0,0.0931,Here,5,1
5,0.0196,https://api.spotify.com/v1/audio-analysis/5jsw9uXEGuKyJzs0boZ1bT,0.592,206880,0.752,5jsw9uXEGuKyJzs0boZ1bT,0.0,1,0.0477,-6.589,1,0.114,74.784,4,https://api.spotify.com/v1/tracks/5jsw9uXEGuKyJzs0boZ1bT,audio_features,spotify:track:5jsw9uXEGuKyJzs0boZ1bT,0.726,Stitches,4,1
6,0.0236,https://api.spotify.com/v1/audio-analysis/1BZG99C7Co1r6QUC3zaS59,0.671,229080,0.596,1BZG99C7Co1r6QUC3zaS59,0.0,11,0.228,-4.005,0,0.031,98.025,4,https://api.spotify.com/v1/tracks/1BZG99C7Co1r6QUC3zaS59,audio_features,spotify:track:1BZG99C7Co1r6QUC3zaS59,0.444,Same Old Love,5,1
7,0.166,https://api.spotify.com/v1/audio-analysis/1id7zaOhaboC5VzzY3ucrt,0.639,204016,0.651,1id7zaOhaboC5VzzY3ucrt,0.0,5,0.131,-5.959,0,0.213,113.976,4,https://api.spotify.com/v1/tracks/1id7zaOhaboC5VzzY3ucrt,audio_features,spotify:track:1id7zaOhaboC5VzzY3ucrt,0.328,Roses,8,1
8,0.00302,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,0.903,267067,0.621,0wwPcA6wtMf6HUMpIRdeP7,0.000186,2,0.0504,-8.132,1,0.0578,134.969,4,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,audio_features,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,0.553,Hotline Bling,2,1
9,0.61,https://api.spotify.com/v1/audio-analysis/4B0JvthVoAAuygILe3n4Bs,0.837,205680,0.571,4B0JvthVoAAuygILe3n4Bs,0.000898,5,0.0849,-8.273,0,0.0922,125.034,4,https://api.spotify.com/v1/tracks/4B0JvthVoAAuygILe3n4Bs,audio_features,spotify:track:4B0JvthVoAAuygILe3n4Bs,0.801,What Do You Mean?,1,1
